no;programa;codigo_programa;nivel;codigo_snies;municipio;cupo;codigo_ficha;horario;sede;fecha_inicio;fecha_fin
26;EJECUCION DE PROGRAMAS DEPORTIVOS.;664212-1;TÉCNICO;NA;POPAYÁN;30;3313098;L a V 13:00 - 19:00;SENA SEDE CALLE 5  CON CRA 14 ESQUINA BARRIO VALENCIA;9-Oct-25;8-Jan-27
27;CONSTRUCCION DE EDIFICACIONES;836138-1;TÉCNICO;NA;POPAYÁN - VRD. EL SENDERO;30;3313025;L a V 7:00 - 13:00;Salon Comunal vereda el Sendero;9-Oct-25;8-Jan-27
28;MANEJO DE MAQUINARIA DE CONFECCION INDUSTRIAL.;935100-1;OPERARIO;NA;POPAYÁN;30;3313003;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Confecciones 2;9-Oct-25;8-Jul-26
29;ELABORACION DE PRENDAS DE VESTIR SOBRE MEDIDAS;842200-3;TÉCNICO;NA;SILVIA;30;3312891;L a V 13:00 - 18:00 / S 8:00 - 18:00;salón en la alcaldía del municipio;9-Oct-25;8-Jan-27
30;SISTEMAS TELEINFORMÁTICOS;233108-1;TÉCNICO;NA;MERCADERES;30;3313109;L a V 7:00 - 13:00;SALA SACUDETE DEL MUNICIPIO;9-Oct-25;8-Jan-27
31;CONSTRUCCION DE EDIFICACIONES;836138-1;TÉCNICO;NA;TIMBIO;30;3313034;L a V 7:00 - 13:00;salón en la Alcaldía del municipio;9-Oct-25;8-Jan-27
32;CONSTRUCCION DE EDIFICACIONES;836138-1;TÉCNICO;NA;LA SIERRA;30;3313173;L a V 7:00 - 13:00;Colegio Agropecuario La Cuchilla;9-Oct-25;8-Jan-27
33;SISTEMAS TELEINFORMÁTICOS;233108-1;TÉCNICO;NA;MORALES;30;3313011;L a V 13:00 - 19:00;casa de la cultura;9-Oct-25;8-Jan-27
34;ANALISIS Y DESARROLLO DE SOFTWARE.;228118-1;TECNÓLOGO;110595;GUAPI;30;3313201;L a V 7:00 - 13:00;SALA DE SISTEMAS ;9-Oct-25;8-Jan-28
35;CONSTRUCCION DE ESTRUCTURAS EN CONCRETO;836201-2;OPERARIO;NA;TIMBIQUI;30;3313050;L a V 7:00 - 13:00;salón en la Alcaldía del municipio;9-Oct-25;8-Jul-26
36;SUPERVISION EN SISTEMAS DE AGUA Y SANEAMIENTO;921200-1;TECNÓLOGO;110483;SANTANDER DE QUILICHAO;30;3313210;L a V 7:00 - 13:00;SEDE LA SAMARIA - Laboratorio Ambiental;9-Oct-25;8-Jan-28
37;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;226701-1;TECNÓLOGO;111637;SANTANDER DE QUILICHAO;30;3313203;L a V 7:00 - 13:00;SEDE LA SAMARIA - Taller Logística Y Producción Industrial;9-Oct-25;8-Jan-28
38;PROGRAMACION DE SOFTWARE .;233104-2;TÉCNICO;NA;SANTANDER DE QUILICHAO;30;3313032;L a V 13:00 - 19:00;SEDE LA CASONA - Ambiente 1 TICs;9-Oct-25;8-Jan-27
39;MANTENIMIENTO ELECTRICO Y CONTROL ELECTRONICO DE AUTOMOTORES;838200-1;TÉCNICO;NA;SANTANDER DE QUILICHAO;30;3313087;L a V 13:00 - 18:00 / S 7:00 - 13:00;SEDE LA SAMARIA - Taller Mecánica Automotriz;9-Oct-25;8-Jan-27
40;SISTEMAS TELEINFORMÁTICOS;233108-1;TÉCNICO;NA;SANTANDER DE QUILICHAO;30;3313144;L a V 13:00 - 19:00;SEDE LA CASONA - Ambiente 2;9-Oct-25;8-Jan-27
41;FABRICACION METALMECANICA;961202-1;AUXILIAR;NA;PUERTO TEJADA;30;3313014;L a V 7:00 - 13:00;salón en la alcaldía del municipio;9-Oct-25;8-Jul-27
